Group,Start,End,P/N,Description,ATA,Unit Hours,U/S Rem.,Rate U/S Rem.,U/S Rem rate UCL,Failures,Rate Fail.,Conf. Fail.,Other Fail.,No Fault,Not Reported,Not Reported %,MTBUR,MTBUR LCL,MTBUR %,MTTUR,MTBF,MTBF LCL,MTBF %,NFF Rate,NFF Rate UCL
Own Configuration,2022-06-01,2023-05-31,4315542,LIGHT,33,43890,1,0.022784233,1.184991089,0,0,0,0,0,1,100,43890,0,,3,,,,,
Own Configuration,2022-07-01,2023-06-30,4315542,LIGHT,33,45478,1,0.021988654,0.811200202,0,0,0,0,0,1,100,45478,0,,1993,,,,,
Own Configuration,2022-08-01,2023-07-31,4315542,LIGHT,33,45877,1,0.021797415,0.694800156,0,0,0,0,0,1,100,45877,0,,1993,,,,,
Own Configuration,2022-01-01,2022-12-31,4315542,LIGHT,33,6970,2,0.286944046,1.337325701,0,0,0,0,0,2,100,3485,0,,2,,,,,
Own Configuration,2022-02-01,2023-01-31,4315542,LIGHT,33,7713,2,0.259302476,1.289079293,0,0,0,0,0,2,100,3857,0,,2,,,,,
Own Configuration,2022-03-01,2023-02-28,4315542,LIGHT,33,8340,2,0.239808153,1.247391176,0,0,0,0,0,2,100,4170,0,,2,,,,,
Own Configuration,2022-04-01,2023-03-31,4315542,LIGHT,33,20252,2,0.098755678,1.227594689,0,0,0,0,0,2,100,10126,0,,2,,,,,
Own Configuration,2021-09-01,2022-08-31,4315542,LIGHT,33,3921,2,0.510073961,1.688073374,0,0,0,0,0,2,100,1961,267.0687112,734.0807507,2,,,,,
Own Configuration,2021-10-01,2022-09-30,4315542,LIGHT,33,4700,2,0.425531915,1.561240045,0,0,0,0,0,2,100,2350,159.5330377,1473.049115,2,,,,,
Own Configuration,2021-11-01,2022-10-31,4315542,LIGHT,33,5438,2,0.367782273,1.467918326,0,0,0,0,0,2,100,2719,41.46219894,6557.780507,2,,,,,
Own Configuration,2021-12-01,2022-11-30,4315542,LIGHT,33,6052,2,0.330469266,1.395103034,0,0,0,0,0,2,100,3026,0,,2,,,,,
Own Configuration,2021-12-01,2022-11-30,49-170-11,SFCC,27,1464,3,2.049180328,43.43401268,0,0,0,0,1,2,66.66666667,488,0,,180,,,,1,1
Own Configuration,2021-11-01,2022-10-31,49-170-11,SFCC,27,1188,3,2.525252525,45.74285625,0,0,0,0,1,2,66.66666667,396,0,,180,,,,1,1
Own Configuration,2022-02-01,2023-01-31,49-170-11,SFCC,27,2063,3,1.454192923,39.61592786,0,0,0,0,1,2,66.66666667,688,0,,180,,,,1,1
Own Configuration,2022-01-01,2022-12-31,49-170-11,SFCC,27,1808,3,1.659292035,41.41125519,0,0,0,0,1,2,66.66666667,603,0,,180,,,,1,1
Own Configuration,2021-10-01,2022-09-30,49-170-11,SFCC,27,900,3,3.333333333,48.37819073,0,0,0,0,1,2,66.66666667,300,0,,180,,,,1,1
Own Configuration,2021-09-01,2022-08-31,49-170-11,SFCC,27,662,3,4.531722054,51.41532298,0,0,0,0,1,2,66.66666667,221,0,,180,,,,1,1
Own Configuration,2022-08-01,2023-07-31,49-170-11,SFCC,27,30501,2,0.065571621,5.494392359,0,0,0,0,1,1,50,15251,0,,268,,,,1,1
Own Configuration,2022-07-01,2023-06-30,49-170-11,SFCC,27,29564,2,0.067649844,5.730606888,0,0,0,0,1,1,50,14782,0,,268,,,,1,1
Own Configuration,2022-04-01,2023-03-31,49-170-11,SFCC,27,18144,3,0.165343915,36.65942909,0,0,0,0,1,2,66.66666667,6048,0,,180,,,,1,1
Own Configuration,2022-03-01,2023-02-28,49-170-11,SFCC,27,2327,3,1.28921358,38.01558706,0,0,0,0,1,2,66.66666667,776,0,,180,,,,1,1
Own Configuration,2022-06-01,2023-05-31,49-170-11,SFCC,27,28478,2,0.070229651,10.89118567,0,0,0,0,1,1,50,14239,0,,268,,,,1,1
Own Configuration,2022-05-01,2023-04-30,49-170-11,SFCC,27,27523,2,0.072666497,27.60975522,0,0,0,0,1,1,50,13762,0,,268,,,,1,1
Own Configuration,2022-07-01,2023-06-30,6773F010000,VALVE,36,30893,1,0.032369793,0.05385199,0,0,0,0,0,1,100,30893,22428.45117,137.740229,1415,,,,,
Own Configuration,2022-06-01,2023-05-31,6773F010000,VALVE,36,30095,1,0.033228111,0.047422999,0,0,0,0,0,1,100,30095,20765.87265,144.9252845,1415,,,,,
Own Configuration,2022-05-01,2023-04-30,6773F010000,VALVE,36,29198,1,0.034248921,0.03830521,0,0,0,0,0,1,100,29198,18401.48077,158.6720132,1415,,,,,
Own Configuration,2022-04-01,2023-03-31,6773F010000,VALVE,36,36672,1,0.027268761,0.023919883,0,0,0,0,0,1,100,36672,36672,100,1415,,,,,
Own Configuration,2022-08-01,2023-07-31,6773F010000,VALVE,36,31445,2,0.063603117,0.07500634,0,0,0,0,0,2,100,15723,7267.901865,216.3279072,919,,,,,
Own Configuration,2022-07-01,2023-06-30,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,26.52211655,0,0,0,0,0,1,100,85,85,100,85,,,,,
Own Configuration,2022-08-01,2023-07-31,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,25,0,0,0,0,0,1,100,85,85,100,85,,,,,
Own Configuration,2022-06-01,2023-05-31,6774E010000,VALVE-BLEED PRESSURE REGULATING,36,85,1,11.76470588,28.75933704,0,0,0,0,0,1,100,85,85,100,85,,,,,
